"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.68,90.0000000000002,-144,-6.12941918088544,-31.2379962611849
5.68,90.0000000000002,-142,-5.6867702996339,-29.8006221429536
5.68,90.0000000000002,-140,-5.29122970761547,-28.6333683150375
5.68,90.0000000000002,-138,-4.93749642528901,-27.6715249387166
5.68,90.0000000000002,-136,-4.62047387891111,-26.8711777121981
5.68,90.0000000000002,-134,-4.33523611369259,-26.2011293274742
5.68,90.0000000000002,-132,-4.07701497820689,-25.6383075538454
5.68,90.0000000000002,-130,-3.84120625475897,-25.1650339792681
5.68,90.0000000000002,-128,-3.62339252739984,-24.7673241891472
5.68,90.0000000000002,-126,-3.41937997620226,-24.433785174564
5.68,90.0000000000002,-124,-3.22524539635922,-24.1548740224737
5.68,90.0000000000002,-122,-3.03738875866064,-23.9223850260917
5.68,90.0000000000002,-120,-2.85258580496641,-23.7290880746378
5.68,90.0000000000002,-118,-2.66803477839727,-23.5684723860181
5.68,90.0000000000002,-116,-2.48139164796456,-23.4345676015065
5.68,90.0000000000002,-114,-2.29078920777868,-23.3218247122828
5.68,90.0000000000002,-112,-2.0948371463446,-23.2250452551673
5.68,90.0000000000002,-110,-1.89260234803433,-23.1393503468705
5.68,90.0000000000002,-108,-1.68357093755756,-23.0601823843797
5.68,90.0000000000002,-106,-1.4675955131682,-22.9833322717138
5.68,90.0000000000002,-104,-1.24483232102308,-22.9049843788247
5.68,90.0000000000002,-102,-1.01567364666065,-22.8217706200988
5.68,90.0000000000002,-100,-0.780680466350463,-22.7308245699565
5.68,90.0000000000002,-98,-0.540519583902386,-22.6298268453581
5.68,90.0000000000002,-96,-0.295908327142962,-22.517034329896
5.68,90.0000000000002,-94,-0.0475686450101937,-22.3912881676857
5.68,90.0000000000002,-92,0.203808669086259,-22.2519984983845
5.68,90.0000000000002,-90,0.4575897777792,-22.099107100776
5.68,90.0000000000002,-88,0.713214366343157,-21.9330318660643
5.68,90.0000000000002,-86,0.97020404149457,-21.7545988591154
5.68,90.0000000000002,-84,1.22816373607199,-21.5649684225615
5.68,90.0000000000002,-82,1.48677725119291,-21.365561394403
5.68,90.0000000000002,-80,1.74579794180389,-21.1579903248888
5.68,90.0000000000002,-78,2.00503539856943,-20.9439989774813
5.68,90.0000000000002,-76,2.26433884133761,-20.7254117519336
5.68,90.0000000000002,-74,2.5235778449859,-20.5040932504854
5.68,90.0000000000002,-72,2.7826209815151,-20.2819171716847
5.68,90.0000000000002,-70,3.04131298459048,-20.0607430978515
5.68,90.0000000000002,-68,3.29945111509808,-19.8423994996923
5.68,90.0000000000002,-66,3.55676151020357,-19.6286713315317
5.68,90.0000000000002,-64,3.81287640845599,-19.4212908387182
5.68,90.0000000000002,-62,4.06731323061657,-19.2219305591831
5.68,90.0000000000002,-60,4.319456531722,-19.0321979054443
5.68,90.0000000000002,-58,4.56854380162765,-18.8536311119886
5.68,90.0000000000002,-56,4.81365596650727,-18.6876966927275
5.68,90.0000000000002,-54,5.05371323392175,-18.5357888533974
5.68,90.0000000000002,-52,5.28747664542383,-18.3992315323394
5.68,90.0000000000002,-50,5.51355538252633,-18.2792838938807
5.68,90.0000000000002,-48,5.7304195517514,-18.1771501694271
5.68,90.0000000000002,-46,5.93641789154916,-18.0939947336333
5.68,90.0000000000002,-44,6.12979963203611,-18.0309632215491
5.68,90.0000000000002,-42,6.30873962090848,-17.989210347082
5.68,90.0000000000002,-40,6.47136581497958,-17.9699348895021
5.68,90.0000000000002,-38,6.61578832234432,-17.9744220974212
5.68,90.0000000000002,-36,6.74012934984958,-18.0040935532078
5.68,90.0000000000002,-34,6.84255364194532,-18.0605643908235
5.68,90.0000000000002,-32,6.92129926488381,-18.1457077231254
5.68,90.0000000000002,-30,6.97470886986019,-18.2617262761115
5.68,90.0000000000002,-28,7.00126183727421,-18.4112316173753
5.68,90.0000000000002,-26,6.99960794046622,-18.5973320725853
5.68,90.0000000000002,-24,6.96860334827094,-18.8237315044443
5.68,90.0000000000002,-22,6.90734988254594,-19.0948426131305
5.68,90.0000000000002,-20,6.81523841765714,-19.4159202709389
5.68,90.0000000000002,-18,6.69199709141282,-19.7932224332939
5.68,90.0000000000002,-16,6.5377445008736,-20.234207771677
5.68,90.0000000000002,-14,6.3530471596853,-20.7477786777381
5.68,90.0000000000002,-12,6.13897904782908,-21.3445711738203
5.68,90.0000000000002,-10,5.89717894203334,-22.0372673629137
5.68,90.0000000000002,-8,5.62989829124932,-22.8408282038958
5.68,90.0000000000002,-6,5.34002879395399,-23.7723226444191
5.68,90.0000000000002,-4,5.03109500165433,-24.8494046595628
5.68,90.0000000000002,-2,4.7071942470607,-26.0847422014416
5.68,90.0000000000002,0,4.3728657099154,-27.4690310041021
5.68,90.0000000000002,2,4.03287475682541,-28.9251918319305
5.68,90.0000000000002,4,3.69190988412688,-30.2137712767953
5.68,90.0000000000002,6,3.35420807764981,-30.8741894874732
5.68,90.0000000000002,8,3.02314727636506,-30.5358175401088
5.68,90.0000000000002,10,2.70086491569811,-29.3970155626345
5.68,90.0000000000002,12,2.3879698970487,-27.9508349208291
5.68,90.0000000000002,14,2.08340459425946,-26.5198935244531
5.68,90.0000000000002,16,1.78448375198314,-25.2268219944877
5.68,90.0000000000002,18,1.48709751314829,-24.0985593894226
5.68,90.0000000000002,20,1.18603064065942,-23.1283915880967
5.68,90.0000000000002,22,0.875331195488621,-22.300471389317
5.68,90.0000000000002,24,0.548663197814786,-21.598184704848
5.68,90.0000000000002,26,0.1995942359296,-21.006631911388
5.68,90.0000000000002,28,-0.17820858574691,-20.5131005141358
5.68,90.0000000000002,30,-0.590880880449781,-20.1069066592055
